date,price
2023-01-01,3.25
2023-01-02,3.18
2023-01-03,3.22
2023-01-04,3.35
2023-01-05,3.41
2023-01-06,3.38
2023-01-07,3.29
2023-01-08,3.15
2023-01-09,3.08
2023-01-10,3.12
2023-01-11,3.25
2023-01-12,3.33
2023-01-13,3.42
2023-01-14,3.48
2023-01-15,3.52
2023-01-16,3.45
2023-01-17,3.38
2023-01-18,3.31
2023-01-19,3.28
2023-01-20,3.35
2023-01-21,3.42
2023-01-22,3.48
2023-01-23,3.55
2023-01-24,3.61
2023-01-25,3.58
2023-01-26,3.52
2023-01-27,3.45
2023-01-28,3.38
2023-01-29,3.35
2023-01-30,3.42
2023-01-31,3.48
2023-02-01,3.55
2023-02-02,3.62
2023-02-03,3.68
2023-02-04,3.75
2023-02-05,3.82
2023-02-06,3.88
2023-02-07,3.95
2023-02-08,4.02
2023-02-09,4.08
2023-02-10,4.15
2023-02-11,4.22
2023-02-12,4.28
2023-02-13,4.35
2023-02-14,4.42
2023-02-15,4.48
2023-02-16,4.55
2023-02-17,4.62
2023-02-18,4.68
2023-02-19,4.75
2023-02-20,4.82
2023-02-21,4.88
2023-02-22,4.95
2023-02-23,5.02
2023-02-24,5.08
2023-02-25,5.15
2023-02-26,5.22
2023-02-27,5.28
2023-02-28,5.35
2023-03-01,5.25
2023-03-02,5.15
2023-03-03,5.08
2023-03-04,4.98
2023-03-05,4.88
2023-03-06,4.78
2023-03-07,4.68
2023-03-08,4.58
2023-03-09,4.48
2023-03-10,4.38
2023-03-11,4.28
2023-03-12,4.18
2023-03-13,4.08
2023-03-14,3.98
2023-03-15,3.88
2023-03-16,3.78
2023-03-17,3.68
2023-03-18,3.58
2023-03-19,3.48
2023-03-20,3.38
2023-03-21,3.28
2023-03-22,3.18
2023-03-23,3.08
2023-03-24,2.98
2023-03-25,2.88
2023-03-26,2.78
2023-03-27,2.68
2023-03-28,2.58
2023-03-29,2.48
2023-03-30,2.38
2023-03-31,2.28
