Date,Price
2023-01-01,3.25
2023-01-02,3.18
2023-01-03,3.22
2023-01-04,3.35
2023-01-05,3.41
2023-01-06,3.38
2023-01-07,3.29
2023-01-08,3.15
2023-01-09,3.08
2023-01-10,3.12
2023-01-11,3.28
2023-01-12,3.33
2023-01-13,3.19
2023-01-14,3.24
2023-01-15,3.31
2023-01-16,3.17
2023-01-17,3.26
2023-01-18,3.39
2023-01-19,3.44
2023-01-20,3.36
2023-01-22,3.42
2023-01-23,3.29
2023-01-24,3.18
2023-01-25,3.33
2023-01-26,3.47
2023-01-27,3.52
2023-01-29,3.38
2023-01-30,3.25
2023-01-31,3.41
2023-02-01,3.29
2023-02-02,3.15
2023-02-03,3.22
2023-02-06,3.47
2023-02-07,3.61
2023-02-08,3.44
2023-02-09,3.28
2023-02-10,3.13
2023-02-13,3.36
2023-02-14,3.52
2023-02-15,3.19
2023-02-16,3.41
2023-02-17,3.27
2023-02-21,3.18
2023-02-22,3.44
2023-02-23,3.58
2023-02-24,3.32
2023-02-27,3.21
2023-02-28,3.49
2023-03-01,3.37
2023-03-02,3.14
2023-03-03,3.28
2023-03-06,3.51
2023-03-07,3.43
2023-03-08,3.19
2023-03-09,3.35
2023-03-10,3.62
2023-03-13,3.48
2023-03-14,3.22
2023-03-15,3.37
2023-03-16,3.55
2023-03-17,3.41
2023-03-20,3.18
2023-03-21,3.33
2023-03-22,3.59
2023-03-23,3.26
2023-03-24,3.14
2023-03-27,3.47
2023-03-28,3.61
2023-03-29,3.38
2023-03-30,3.25
2023-03-31,3.52
2023-04-03,3.39
2023-04-04,3.16
2023-04-05,3.28
2023-04-06,3.54
2023-04-07,3.42
2023-04-10,3.21
2023-04-11,3.37
2023-04-12,3.58
2023-04-13,3.31
2023-04-14,3.18
2023-04-17,3.45
2023-04-18,3.62
2023-04-19,3.29
2023-04-20,3.13
2023-04-21,3.41
2023-04-24,3.56
2023-04-25,3.34
2023-04-26,3.19
2023-04-27,3.47
2023-04-28,3.61
2023-05-01,3.28
2023-05-02,3.15
2023-05-03,3.39
2023-05-04,3.53
2023-05-05,3.41
